subid,comm_pol1,friendship_likelihood1,peter_helpful1,peter_rude1,comm_pol2,friendship_likelihood2,peter_helpful2,peter_rude2,comm_pol3,friendship_likelihood3,peter_helpful3,peter_rude3,comm_pol4,friendship_likelihood4,peter_helpful4,peter_rude4,gender,participant_pol,liberal_beliefs,conservative_beliefs
1,,,,,,,,,,,,,6,1,50,50,2,1,6,1
2,,,,,,,,,7,4,80,20,,,,,1,3,2,7
3,,,,,,,,,,,,,5,3,82,5,1,1,5,3
4,,,,,,,,,6,2,60,20,,,,,1,1,5,4
5,5,3,50,50,,,,,,,,,,,,,2,2,4,4
6,,,,,,,,,,,,,8,1,5,95,2,1,7,1
7,,,,,5,3,50,50,,,,,,,,,1,1,6,3
8,,,,,,,,,4,3,75,25,,,,,2,3,3,5
9,,,,,2,2,75,25,,,,,,,,,2,1,7,1
10,6,3,60,45,,,,,,,,,,,,,1,3,2,5
11,,,,,3,1,50,50,,,,,,,,,1,2,4,4
12,,,,,,,,,5,2,50,50,,,,,1,1,6,1
13,,,,,,,,,3,3,100,25,,,,,2,2,4,4
14,4,1,35,60,,,,,,,,,,,,,1,3,2,6
15,,,,,,,,,,,,,7,1,25,75,1,1,7,2
16,,,,,,,,,2,1,50,50,,,,,2,3,1,6
17,,,,,7,5,50,25,,,,,,,,,2,1,6,7
18,,,,,,,,,5,3,50,50,,,,,1,2,4,4
19,5,2,60,40,,,,,,,,,,,,,1,1,7,1
20,,,,,,,,,,,,,6,3,60,40,2,4,5,1
21,4,1,50,50,,,,,,,,,,,,,2,1,5,3
22,8,4,50,50,,,,,,,,,,,,,2,3,6,5
23,4,1,95,1,,,,,,,,,,,,,1,2,5,2
24,,,,,,,,,,,,,4,2,50,50,2,1,7,1
25,,,,,,,,,,,,,8,4,70,30,2,2,4,7
26,1,4,80,20,,,,,,,,,,,,,1,1,5,3
27,,,,,,,,,,,,,5,2,65,35,2,3,2,6
28,,,,,6,1,50,50,,,,,,,,,1,1,6,2
29,,,,,,,,,,,,,8,3,50,50,1,1,7,1
30,3,3,70,30,,,,,,,,,,,,,2,1,7,1
31,,,,,7,4,75,82,,,,,,,,,2,3,6,7
32,4,3,30,80,,,,,,,,,,,,,1,1,6,4
33,,,,,,,,,3,3,80,20,,,,,1,2,4,4
34,,,,,,,,,1,4,50,30,,,,,1,1,6,2
35,2,2,80,20,,,,,,,,,,,,,2,1,6,1
36,,,,,,,,,5,3,60,40,,,,,2,2,6,2
37,,,,,,,,,8,5,99,98,,,,,2,3,6,6
38,,,,,,,,,,,,,5,1,50,50,2,1,7,1
39,,,,,,,,,,,,,1,1,50,50,1,3,5,7
40,,,,,,,,,,,,,6,3,80,15,1,2,6,1
41,,,,,,,,,,,,,4,2,60,40,1,1,7,1
42,,,,,5,3,40,60,,,,,,,,,2,3,1,7
43,6,4,4,4,,,,,,,,,,,,,1,1,6,6
44,,,,,,,,,7,2,40,60,,,,,1,1,6,2
45,,,,,,,,,5,2,60,40,,,,,1,1,7,1
46,,,,,7,4,75,80,,,,,,,,,1,1,6,5
47,,,,,,,,,,,,,5,3,30,50,1,1,5,4
48,,,,,6,3,50,60,,,,,,,,,2,1,5,3
49,3,4,75,50,,,,,,,,,,,,,1,1,5,2
50,,,,,,,,,,,,,4,3,50,50,1,1,6,3
51,,,,,,,,,8,4,85,80,,,,,2,3,7,6
52,,,,,,,,,3,3,40,50,,,,,1,1,6,5
53,,,,,5,4,35,56,,,,,,,,,1,1,5,3
54,,,,,7,2,60,50,,,,,,,,,1,1,7,2
55,,,,,6,3,50,50,,,,,,,,,1,2,5,2
56,,,,,,,,,,,,,4,2,50,50,1,1,5,2
57,,,,,5,3,50,50,,,,,,,,,1,2,4,4
58,,,,,,,,,2,5,25,75,,,,,1,1,6,2
59,,,,,,,,,,,,,6,1,50,50,1,2,4,4
60,6,3,45,76,,,,,,,,,,,,,1,1,5,3
61,,,,,6,2,50,50,,,,,,,,,2,1,6,2
62,3,2,60,25,,,,,,,,,,,,,1,1,6,2
63,,,,,4,3,50,50,,,,,,,,,1,2,5,5
64,,,,,,,,,,,,,4,3,40,25,1,3,3,5
65,6,4,80,20,,,,,,,,,,,,,1,3,6,3
66,3,2,5,95,,,,,,,,,,,,,2,1,6,2
67,,,,,,,,,,,,,1,2,60,40,2,2,4,4
68,,,,,,,,,3,3,77,80,,,,,2,1,7,1
69,,,,,,,,,,,,,6,2,50,50,2,1,7,1
70,,,,,,,,,8,2,60,40,,,,,1,3,2,6
71,1,5,100,0,,,,,,,,,,,,,2,3,5,6
72,,,,,,,,,8,1,20,80,,,,,1,1,7,1
73,,,,,,,,,5,3,50,50,,,,,1,1,5,3
74,,,,,2,2,70,30,,,,,,,,,1,2,5,3
75,,,,,3,4,40,60,,,,,,,,,1,2,6,5
76,,,,,,,,,,,,,3,2,65,35,1,3,2,6
77,,,,,,,,,,,,,8,5,50,50,1,3,1,7
78,7,5,70,30,,,,,,,,,,,,,2,3,6,5
79,,,,,8,1,95,5,,,,,,,,,1,1,7,1
80,,,,,2,3,90,10,,,,,,,,,1,2,6,2
81,,,,,,,,,,,,,4,2,50,50,1,3,3,5
82,,,,,,,,,,,,,5,2,25,66,1,1,6,2
83,,,,,2,3,50,10,,,,,,,,,1,1,6,2
84,,,,,,,,,6,5,1,2,,,,,1,2,6,6
85,5,2,50,50,,,,,,,,,,,,,2,3,3,6
86,,,,,,,,,1,1,50,50,,,,,1,2,4,4
87,,,,,5,1,80,20,,,,,,,,,2,1,7,1
88,,,,,3,2,55,45,,,,,,,,,1,1,5,2
89,,,,,,,,,,,,,5,3,60,40,2,1,5,5
90,8,1,70,15,,,,,,,,,,,,,2,1,7,2
91,5,2,80,20,,,,,,,,,,,,,2,4,4,1
92,,,,,,,,,5,2,60,10,,,,,1,1,6,2
93,,,,,4,2,15,10,,,,,,,,,1,1,6,1
94,,,,,1,1,25,75,,,,,,,,,1,3,4,6
95,,,,,,,,,,,,,7,2,20,80,1,1,5,5
96,,,,,,,,,2,3,20,40,,,,,1,1,6,1
97,,,,,,,,,,,,,7,4,60,40,1,2,4,4
98,1,1,35,45,,,,,,,,,,,,,2,1,4,2
99,,,,,,,,,8,1,20,80,,,,,1,1,7,2
100,,,,,7,3,50,50,,,,,,,,,2,3,3,6
101,3,1,25,75,,,,,,,,,,,,,2,2,4,4
102,,,,,,,,,5,2,25,50,,,,,2,1,7,1
103,4,2,10,1,,,,,,,,,,,,,1,1,3,4
104,,,,,,,,,,,,,5,3,40,70,2,1,4,4
105,6,2,70,60,,,,,,,,,,,,,2,2,6,2
106,,,,,3,1,70,60,,,,,,,,,2,1,5,2
107,,,,,7,1,10,90,,,,,,,,,1,1,5,4
108,1,4,60,10,,,,,,,,,,,,,1,1,7,1
109,4,2,50,50,,,,,,,,,,,,,2,1,6,2
110,,,,,,,,,,,,,8,1,50,65,1,2,3,3
111,,,,,,,,,,,,,6,2,75,40,1,2,2,6
112,,,,,,,,,3,1,15,65,,,,,1,1,7,1
113,,,,,,,,,,,,,6,2,50,25,1,1,6,2
114,,,,,,,,,8,2,30,70,,,,,2,1,7,1
115,,,,,4,2,50,50,,,,,,,,,2,2,4,4
116,4,2,80,30,,,,,,,,,,,,,2,2,5,5
117,6,3,50,50,,,,,,,,,,,,,2,3,5,3
118,,,,,,,,,4,3,90,10,,,,,2,1,5,4
119,,,,,4,1,75,20,,,,,,,,,1,1,6,1
120,,,,,,,,,,,,,5,1,45,55,1,4,6,1
121,6,4,50,40,,,,,,,,,,,,,1,3,6,6
122,,,,,5,1,82,11,,,,,,,,,2,2,3,3
123,,,,,,,,,,,,,8,2,50,50,1,2,5,5
124,,,,,3,1,90,10,,,,,,,,,1,3,1,7
125,,,,,,,,,,,,,4,2,60,20,2,1,6,3
126,3,3,60,20,,,,,,,,,,,,,1,1,7,1